[2026-07-15T12:09:55.973Z] GET file:///Users/arda/Projects/eardatasci.github.io/theme.min.7363202e6ba39c3b4caca8b218f6f6631256ed7a41cd2f8bf46550651b07cb31.css → 200 (1ms, 8396B)
[2026-07-15T12:09:55.973Z] GET https://www.recurse-scout.com/loader.js?t=bd90963b613cbcfcdd3274ad72b12dc6 → pending (?ms, ?B)
[2026-07-15T12:09:55.973Z] GET file:///Users/arda/Projects/eardatasci.github.io/c/ambiance/harvey.jpg → 200 (1ms, 57241B)
[2026-07-15T12:09:55.986Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -814B)
[2026-07-15T12:09:55.986Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbY2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKxTOlOVk6OThhvA.woff2 → 200 (?ms, -814B)
[2026-07-15T12:09:56.058Z] GET file:///Users/arda/Projects/eardatasci.github.io/index.html → 200 (?ms, 7934B)
[2026-07-15T12:09:56.061Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;600;700&display=swap → 200 (?ms, -698B)
[2026-07-15T12:09:56.061Z] GET https://fonts.googleapis.com/css?family=JetBrains+Mono&display=swap.css → 200 (?ms, -698B)
[2026-07-15T12:09:56.061Z] GET file:///Users/arda/Projects/eardatasci.github.io/theme.min.7363202e6ba39c3b4caca8b218f6f6631256ed7a41cd2f8bf46550651b07cb31.css → 200 (?ms, 8396B)
[2026-07-15T12:09:56.061Z] GET https://www.recurse-scout.com/loader.js?t=bd90963b613cbcfcdd3274ad72b12dc6 → pending (?ms, ?B)
[2026-07-15T12:09:56.062Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, -814B)
[2026-07-15T12:09:56.142Z] GET file:///Users/arda/Projects/eardatasci.github.io/about.html → 200 (?ms, 3041B)
[2026-07-15T12:09:56.144Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;600;700&display=swap → 200 (1ms, -698B)
[2026-07-15T12:09:56.144Z] GET https://fonts.googleapis.com/css?family=JetBrains+Mono&display=swap.css → 200 (1ms, -698B)
[2026-07-15T12:09:56.144Z] GET file:///Users/arda/Projects/eardatasci.github.io/theme.min.7363202e6ba39c3b4caca8b218f6f6631256ed7a41cd2f8bf46550651b07cb31.css → 200 (1ms, 8396B)
[2026-07-15T12:09:56.144Z] GET https://www.recurse-scout.com/loader.js?t=bd90963b613cbcfcdd3274ad72b12dc6 → 200 (155ms, 1311B)
[2026-07-15T12:09:56.148Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, -814B)
[2026-07-15T12:09:56.300Z] GET https://d29xw0ra2h4o4u.cloudfront.net/assets/scout-176be16681a03cbddd686f3cc96694d3aab338ea5cb65452f83d989309810528.js → 200 (?ms, -944B)
[2026-07-15T12:10:23.196Z] GET file:///Users/arda/Projects/eardatasci.github.io/c/ambiance/index.html → 200 (1ms, 12978B)
[2026-07-15T12:10:23.199Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;600;700&display=swap → 200 (1ms, -698B)
[2026-07-15T12:10:23.199Z] GET https://fonts.googleapis.com/css2?family=JetBrains+Mono&display=swap → 200 (1ms, -698B)
[2026-07-15T12:10:23.200Z] GET file:///Users/arda/Projects/eardatasci.github.io/theme.min.7363202e6ba39c3b4caca8b218f6f6631256ed7a41cd2f8bf46550651b07cb31.css → 200 (?ms, 8396B)
[2026-07-15T12:10:23.200Z] GET https://www.recurse-scout.com/loader.js?t=bd90963b613cbcfcdd3274ad72b12dc6 → 200 (180ms, 575B)
[2026-07-15T12:10:23.200Z] GET file:///Users/arda/Projects/eardatasci.github.io/c/ambiance/harvey.jpg → 200 (?ms, 57241B)
[2026-07-15T12:10:23.206Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -814B)
[2026-07-15T12:10:23.206Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbY2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKxTOlOVk6OThhvA.woff2 → 200 (?ms, -814B)
[2026-07-15T12:10:23.380Z] GET https://d29xw0ra2h4o4u.cloudfront.net/assets/scout-176be16681a03cbddd686f3cc96694d3aab338ea5cb65452f83d989309810528.js → 200 (?ms, -944B)
[2026-07-15T12:10:49.167Z] GET file:///Users/arda/Projects/eardatasci.github.io/c/vim-go-ide/index.html → 200 (?ms, 15905B)
[2026-07-15T12:10:49.170Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;600;700&display=swap → 200 (?ms, -698B)
[2026-07-15T12:10:49.170Z] GET https://fonts.googleapis.com/css2?family=JetBrains+Mono&display=swap → 200 (?ms, -698B)
[2026-07-15T12:10:49.170Z] GET file:///Users/arda/Projects/eardatasci.github.io/theme.min.7363202e6ba39c3b4caca8b218f6f6631256ed7a41cd2f8bf46550651b07cb31.css → 200 (?ms, 8396B)
[2026-07-15T12:10:49.170Z] GET file:///Users/arda/Projects/eardatasci.github.io/c/vim-go-ide/vim-go-resp.png → 200 (?ms, 28958B)
[2026-07-15T12:10:49.170Z] GET file:///Users/arda/Projects/eardatasci.github.io/c/vim-go-ide/vim-go.gif → 200 (1ms, 2592137B)
[2026-07-15T12:10:49.170Z] GET file:///Users/arda/Projects/eardatasci.github.io/c/vim-go-ide/coc-vim.gif → 200 (1ms, 1785923B)
[2026-07-15T12:10:49.177Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, -814B)
[2026-07-15T12:10:49.177Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbY2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKxTOlOVk6OThhvA.woff2 → 200 (?ms, -814B)
[2026-07-15T12:11:11.266Z] GET file:///Users/arda/Projects/eardatasci.github.io/c/ambiance/index.html → 200 (1ms, 12978B)
[2026-07-15T12:11:11.269Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;600;700&display=swap → 200 (1ms, -698B)
[2026-07-15T12:11:11.269Z] GET https://fonts.googleapis.com/css2?family=JetBrains+Mono&display=swap → 200 (1ms, -698B)
[2026-07-15T12:11:11.269Z] GET file:///Users/arda/Projects/eardatasci.github.io/theme.min.7363202e6ba39c3b4caca8b218f6f6631256ed7a41cd2f8bf46550651b07cb31.css → 200 (1ms, 8396B)
[2026-07-15T12:11:11.269Z] GET https://www.recurse-scout.com/loader.js?t=bd90963b613cbcfcdd3274ad72b12dc6 → 200 (97ms, 576B)
[2026-07-15T12:11:11.269Z] GET file:///Users/arda/Projects/eardatasci.github.io/c/ambiance/harvey.jpg → 200 (1ms, 57241B)
[2026-07-15T12:11:11.277Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -814B)
[2026-07-15T12:11:11.277Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbY2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKxTOlOVk6OThhvA.woff2 → 200 (?ms, -814B)
[2026-07-15T12:11:11.367Z] GET https://d29xw0ra2h4o4u.cloudfront.net/assets/scout-176be16681a03cbddd686f3cc96694d3aab338ea5cb65452f83d989309810528.js → 200 (?ms, -944B)
[2026-07-15T12:20:51.585Z] GET file:///Users/arda/Projects/eardatasci.github.io/c/ambiance/index.html → 200 (?ms, 12978B)
[2026-07-15T12:20:51.588Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;600;700&display=swap → 200 (1ms, -698B)
[2026-07-15T12:20:51.588Z] GET https://fonts.googleapis.com/css2?family=JetBrains+Mono&display=swap → 200 (1ms, -698B)
